"Date","Age","Observations"
2018-03-31,"Under 20",4.5
2018-03-31,"20 - 24",17.8
2018-03-31,"25 - 29",21.1
2018-03-31,"30 - 39",28.9
2018-03-31,"40 - 49",16.4
2018-03-31,"50 - 59",8.1
2018-03-31,"60 and over",3.1
2018-03-31,"Unknown",0.1
2018-06-30,"Under 20",4.4
2018-06-30,"20 - 24",17.4
2018-06-30,"25 - 29",21.2
2018-06-30,"30 - 39",29.3
2018-06-30,"40 - 49",16.4
2018-06-30,"50 - 59",8.2
2018-06-30,"60 and over",3
2018-06-30,"Unknown",0.1
2018-09-30,"Under 20",4.1
2018-09-30,"20 - 24",17
2018-09-30,"25 - 29",20.8
2018-09-30,"30 - 39",29.8
2018-09-30,"40 - 49",16.9
2018-09-30,"50 - 59",8.3
2018-09-30,"60 and over",3
2018-09-30,"Unknown",0.1
2018-12-31,"Under 20",4
2018-12-31,"20 - 24",16.6
2018-12-31,"25 - 29",20.7
2018-12-31,"30 - 39",30.1
2018-12-31,"40 - 49",17
2018-12-31,"50 - 59",8.5
2018-12-31,"60 and over",3
2018-12-31,"Unknown",0.1
2019-03-31,"Under 20",3.8
2019-03-31,"20 - 24",16.3
2019-03-31,"25 - 29",20.3
2019-03-31,"30 - 39",30.4
2019-03-31,"40 - 49",17.3
2019-03-31,"50 - 59",8.7
2019-03-31,"60 and over",3.1
2019-03-31,"Unknown",0.1
2019-06-30,"Under 20",3.6
2019-06-30,"20 - 24",15.8
2019-06-30,"25 - 29",20.4
2019-06-30,"30 - 39",30.7
2019-06-30,"40 - 49",17.2
2019-06-30,"50 - 59",9
2019-06-30,"60 and over",3.3
2019-06-30,"Unknown",0
2019-09-30,"Under 20",3.4
2019-09-30,"20 - 24",15.4
2019-09-30,"25 - 29",20
2019-09-30,"30 - 39",31.1
2019-09-30,"40 - 49",17.3
2019-09-30,"50 - 59",9.4
2019-09-30,"60 and over",3.4
2019-09-30,"Unknown",0
2019-12-31,"Under 20",3.1
2019-12-31,"20 - 24",15.1
2019-12-31,"25 - 29",19.6
2019-12-31,"30 - 39",31.7
2019-12-31,"40 - 49",17.8
2019-12-31,"50 - 59",9.3
2019-12-31,"60 and over",3.4
2019-12-31,"Unknown",0
2020-03-31,"Under 20",2.7
2020-03-31,"20 - 24",14.9
2020-03-31,"25 - 29",19.6
2020-03-31,"30 - 39",32
2020-03-31,"40 - 49",17.9
2020-03-31,"50 - 59",9.4
2020-03-31,"60 and over",3.5
2020-03-31,"Unknown",0
2020-06-30,"Under 20",2.2
2020-06-30,"20 - 24",14.9
2020-06-30,"25 - 29",19.8
2020-06-30,"30 - 39",32.4
2020-06-30,"40 - 49",17.9
2020-06-30,"50 - 59",9.2
2020-06-30,"60 and over",3.6
2020-06-30,"Unknown",0
2020-09-30,"Under 20",2
2020-09-30,"20 - 24",14.2
2020-09-30,"25 - 29",19.8
2020-09-30,"30 - 39",33.3
2020-09-30,"40 - 49",18
2020-09-30,"50 - 59",9.2
2020-09-30,"60 and over",3.5
2020-09-30,"Unknown",0
2020-12-31,"Under 20",1.7
2020-12-31,"20 - 24",13.8
2020-12-31,"25 - 29",19.7
2020-12-31,"30 - 39",34.3
2020-12-31,"40 - 49",18
2020-12-31,"50 - 59",9
2020-12-31,"60 and over",3.5
2020-12-31,"Unknown",0
2021-03-31,"Under 20",1.5
2021-03-31,"20 - 24",13.6
2021-03-31,"25 - 29",19.9
2021-03-31,"30 - 39",34.4
2021-03-31,"40 - 49",18
2021-03-31,"50 - 59",9
2021-03-31,"60 and over",3.6
2021-03-31,"Unknown",0
2021-06-30,"Under 20",1.4
2021-06-30,"20 - 24",12.9
2021-06-30,"25 - 29",19.8
2021-06-30,"30 - 39",34.4
2021-06-30,"40 - 49",18.4
2021-06-30,"50 - 59",9.3
2021-06-30,"60 and over",3.8
2021-06-30,"Unknown",0
2021-09-30,"Under 20",1.3
2021-09-30,"20 - 24",12.4
2021-09-30,"25 - 29",19.5
2021-09-30,"30 - 39",34.7
2021-09-30,"40 - 49",18.7
2021-09-30,"50 - 59",9.6
2021-09-30,"60 and over",3.8
2021-09-30,"Unknown",0
2021-12-31,"Under 20",1.2
2021-12-31,"20 - 24",12
2021-12-31,"25 - 29",19.1
2021-12-31,"30 - 39",35.1
2021-12-31,"40 - 49",19.1
2021-12-31,"50 - 59",9.7
2021-12-31,"60 and over",3.8
2021-12-31,"Unknown",0
2022-03-31,"Under 20",1
2022-03-31,"20 - 24",11.6
2022-03-31,"25 - 29",18.9
2022-03-31,"30 - 39",35.6
2022-03-31,"40 - 49",19.2
2022-03-31,"50 - 59",9.8
2022-03-31,"60 and over",3.9
2022-03-31,"Unknown",0
2022-06-30,"Under 20",1.1
2022-06-30,"20 - 24",11.4
2022-06-30,"25 - 29",18.8
2022-06-30,"30 - 39",35.7
2022-06-30,"40 - 49",19.1
2022-06-30,"50 - 59",9.9
2022-06-30,"60 and over",4
2022-06-30,"Unknown",0
2022-09-30,"Under 20",1.1
2022-09-30,"20 - 24",11.4
