"Date","City","Type","Observations"
"2018-03-31","Auckland","Sentences","1930"
"2018-03-31","Auckland","Orders","622"
"2018-03-31","Auckland","Total","2552"
"2018-03-31","Bay of Plenty","Sentences","1772"
"2018-03-31","Bay of Plenty","Orders","474"
"2018-03-31","Bay of Plenty","Total","2246"
"2018-03-31","Canterbury","Sentences","2710"
"2018-03-31","Canterbury","Orders","799"
"2018-03-31","Canterbury","Total","3509"
"2018-03-31","East Coast","Sentences","1982"
"2018-03-31","East Coast","Orders","567"
"2018-03-31","East Coast","Total","2549"
"2018-03-31","Manukau","Sentences","3547"
"2018-03-31","Manukau","Orders","947"
"2018-03-31","Manukau","Total","4494"
"2018-03-31","Nelson/ West Coast","Sentences","1076"
"2018-03-31","Nelson/ West Coast","Orders","178"
"2018-03-31","Nelson/ West Coast","Total","1254"
"2018-03-31","Otago","Sentences","1050"
"2018-03-31","Otago","Orders","325"
"2018-03-31","Otago","Total","1375"
"2018-03-31","Otago and South/ Mid Canterbury","Sentences",""
"2018-03-31","Otago and South/ Mid Canterbury","Orders",""
"2018-03-31","Otago and South/ Mid Canterbury","Total",""
"2018-03-31","Southland/ Central Otago","Sentences","804"
"2018-03-31","Southland/ Central Otago","Orders","223"
"2018-03-31","Southland/ Central Otago","Total","1027"
"2018-03-31","Southland and Central/ South Otago","Sentences",""
"2018-03-31","Southland and Central/ South Otago","Orders",""
"2018-03-31","Southland and Central/ South Otago","Total",""
"2018-03-31","Taitokerau","Sentences","1671"
"2018-03-31","Taitokerau","Orders","524"
"2018-03-31","Taitokerau","Total","2195"
"2018-03-31","Taupo/ Rotorua","Sentences","1443"
"2018-03-31","Taupo/ Rotorua","Orders","440"
"2018-03-31","Taupo/ Rotorua","Total","1883"
"2018-03-31","Waikato","Sentences","2833"
"2018-03-31","Waikato","Orders","750"
"2018-03-31","Waikato","Total","3583"
"2018-03-31","Wairarapa/ Manawatu","Sentences","1443"
"2018-03-31","Wairarapa/ Manawatu","Orders","428"
"2018-03-31","Wairarapa/ Manawatu","Total","1871"
"2018-03-31","Waitemata","Sentences","2283"
"2018-03-31","Waitemata","Orders","512"
"2018-03-31","Waitemata","Total","2795"
"2018-03-31","Wellington","Sentences","1908"
"2018-03-31","Wellington","Orders","433"
"2018-03-31","Wellington","Total","2341"
"2018-03-31","Whanganui/ Taranaki","Sentences","1256"
"2018-03-31","Whanganui/ Taranaki","Orders","368"
"2018-03-31","Whanganui/ Taranaki","Total","1624"
"2018-03-31","Other","Sentences","2"
"2018-03-31","Other","Orders","1"
"2018-03-31","Other","Total","3"
"2018-03-31","Auckland Region","Sentences",""
"2018-03-31","Auckland Region","Orders",""
"2018-03-31","Auckland Region","Total",""
"2018-03-31","Bay of Plenty Region","Sentences",""
"2018-03-31","Bay of Plenty Region","Orders",""
"2018-03-31","Bay of Plenty Region","Total",""
"2018-03-31","Canterbury Region","Sentences",""
"2018-03-31","Canterbury Region","Orders",""
"2018-03-31","Canterbury Region","Total",""
"2018-03-31","East Coast Region","Sentences",""
"2018-03-31","East Coast Region","Orders",""
"2018-03-31","East Coast Region","Total",""
"2018-03-31","Manukau Region","Sentences",""
"2018-03-31","Manukau Region","Orders",""
"2018-03-31","Manukau Region","Total",""
"2018-03-31","Nelson / Marlborough / West Coast Region","Sentences",""
"2018-03-31","Nelson / Marlborough / West Coast Region","Orders",""
"2018-03-31","Nelson / Marlborough / West Coast Region","Total",""
"2018-03-31","Northland Region","Sentences",""
"2018-03-31","Northland Region","Orders",""
"2018-03-31","Northland Region","Total",""
"2018-03-31","Otago / Southland Region","Sentences",""
"2018-03-31","Otago / Southland Region","Orders",""
"2018-03-31","Otago / Southland Region","Total",""
"2018-03-31","Taranaki / Whanganui / Manawatu Region","Sentences",""
"2018-03-31","Taranaki / Whanganui / Manawatu Region","Orders",""
"2018-03-31","Taranaki / Whanganui / Manawatu Region","Total",""
"2018-03-31","Waikato Region","Sentences",""
"2018-03-31","Waikato Region","Orders",""
"2018-03-31","Waikato Region","Total",""
"2018-03-31","Wellington Region","Sentences",""
"2018-03-31","Wellington Region","Orders",""
"2018-03-31","Wellington Region","Total",""
"2018-06-30","Auckland","Sentences","2018"
"2018-06-30","Auckland","Orders","626"
"2018-06-30","Auckland","Total","2644"
"2018-06-30","Bay of Plenty","Sentences","1773"
"2018-06-30","Bay of Plenty","Orders","436"
"2018-06-30","Bay of Plenty","Total","2209"
"2018-06-30","Canterbury","Sentences","2683"
"2018-06-30","Canterbury","Orders","802"
"2018-06-30","Canterbury","Total","3485"
"2018-06-30","East Coast","Sentences","2122"
"2018-06-30","East Coast","Orders","567"
"2018-06-30","East Coast","Total","2689"
"2018-06-30","Manukau","Sentences","3513"
"2018-06-30","Manukau","Orders","1000"
"2018-06-30","Manukau","Total","4513"
"2018-06-30","Nelson/ West Coast","Sentences","1066"
"2018-06-30","Nelson/ West Coast","Orders","171"
"2018-06-30","Nelson/ West Coast","Total","1237"
"2018-06-30","Otago","Sentences","1079"
"2018-06-30","Otago","Orders","314"
"2018-06-30","Otago","Total","1393"
"2018-06-30","Otago and South/ Mid Canterbury","Sentences",""
"2018-06-30","Otago and South/ Mid Canterbury","Orders",""
"2018-06-30","Otago and South/ Mid Canterbury","Total",""
"2018-06-30","Southland/ Central Otago","Sentences","767"
"2018-06-30","Southland/ Central Otago","Orders","211"
"2018-06-30","Southland/ Central Otago","Total","978"
"2018-06-30","Southland and Central/ South Otago","Sentences",""
"2018-06-30","Southland and Central/ South Otago","Orders",""
"2018-06-30","Southland and Central/ South Otago","Total",""
"2018-06-30","Taitokerau","Sentences","1648"
"2018-06-30","Taitokerau","Orders","506"
"2018-06-30","Taitokerau","Total","2154"
"2018-06-30","Taupo/ Rotorua","Sentences","1418"
"2018-06-30","Taupo/ Rotorua","Orders","438"
"2018-06-30","Taupo/ Rotorua","Total","1856"
"2018-06-30","Waikato","Sentences","2933"
"2018-06-30","Waikato","Orders","797"
"2018-06-30","Waikato","Total","3730"
"2018-06-30","Wairarapa/ Manawatu","Sentences","1465"
"2018-06-30","Wairarapa/ Manawatu","Orders","417"
"2018-06-30","Wairarapa/ Manawatu","Total","1882"
"2018-06-30","Waitemata","Sentences","2374"
"2018-06-30","Waitemata","Orders","496"
"2018-06-30","Waitemata","Total","2870"
"2018-06-30","Wellington","Sentences","1972"
"2018-06-30","Wellington","Orders","437"
"2018-06-30","Wellington","Total","2409"
"2018-06-30","Whanganui/ Taranaki","Sentences","1196"
"2018-06-30","Whanganui/ Taranaki","Orders","363"
"2018-06-30","Whanganui/ Taranaki","Total","1559"
"2018-06-30","Other","Sentences","2"
"2018-06-30","Other","Orders","0"
"2018-06-30","Other","Total","2"
"2018-06-30","Auckland Region","Sentences",""
"2018-06-30","Auckland Region","Orders",""
"2018-06-30","Auckland Region","Total",""
"2018-06-30","Bay of Plenty Region","Sentences",""
"2018-06-30","Bay of Plenty Region","Orders",""
"2018-06-30","Bay of Plenty Region","Total",""
"2018-06-30","Canterbury Region","Sentences",""
"2018-06-30","Canterbury Region","Orders",""
"2018-06-30","Canterbury Region","Total",""
"2018-06-30","East Coast Region","Sentences",""
"2018-06-30","East Coast Region","Orders",""
"2018-06-30","East Coast Region","Total",""
"2018-06-30","Manukau Region","Sentences",""
"2018-06-30","Manukau Region","Orders",""
"2018-06-30","Manukau Region","Total",""
"2018-06-30","Nelson / Marlborough / West Coast Region","Sentences",""
"2018-06-30","Nelson / Marlborough / West Coast Region","Orders",""
"2018-06-30","Nelson / Marlborough / West Coast Region","Total",""
"2018-06-30","Northland Region","Sentences",""
"2018-06-30","Northland Region","Orders",""
"2018-06-30","Northland Region","Total",""
"2018-06-30","Otago / Southland Region","Sentences",""
"2018-06-30","Otago / Southland Region","Orders",""
"2018-06-30","Otago / Southland Region","Total",""
"2018-06-30","Taranaki / Whanganui / Manawatu Region","Sentences",""
"2018-06-30","Taranaki / Whanganui / Manawatu Region","Orders",""
"2018-06-30","Taranaki / Whanganui / Manawatu Region","Total",""
"2018-06-30","Waikato Region","Sentences",""
"2018-06-30","Waikato Region","Orders",""
"2018-06-30","Waikato Region","Total",""
"2018-06-30","Wellington Region","Sentences",""
"2018-06-30","Wellington Region","Orders",""
"2018-06-30","Wellington Region","Total",""
"2018-09-30","Auckland","Sentences","2105"
"2018-09-30","Auckland","Orders","647"
"2018-09-30","Auckland","Total","2752"
"2018-09-30","Bay of Plenty","Sentences","1601"
"2018-09-30","Bay of Plenty","Orders","379"
"2018-09-30","Bay of Plenty","Total","1980"
"2018-09-30","Canterbury","Sentences","2754"
"2018-09-30","Canterbury","Orders","832"
"2018-09-30","Canterbury","Total","3586"
"2018-09-30","East Coast","Sentences","2173"
"2018-09-30","East Coast","Orders","565"
"2018-09-30","East Coast","Total","2738"
"2018-09-30","Manukau","Sentences","3652"
"2018-09-30","Manukau","Orders","1056"
"2018-09-30","Manukau","Total","4708"
"2018-09-30","Nelson/ West Coast","Sentences","1108"
"2018-09-30","Nelson/ West Coast","Orders","195"
"2018-09-30","Nelson/ West Coast","Total","1303"
"2018-09-30","Otago","Sentences","1112"
"2018-09-30","Otago","Orders","303"
"2018-09-30","Otago","Total","1415"
"2018-09-30","Otago and South/ Mid Canterbury","Sentences",""
"2018-09-30","Otago and South/ Mid Canterbury","Orders",""
"2018-09-30","Otago and South/ Mid Canterbury","Total",""
"2018-09-30","Southland/ Central Otago","Sentences","681"
"2018-09-30","Southland/ Central Otago","Orders","199"
"2018-09-30","Southland/ Central Otago","Total","880"
"2018-09-30","Southland and Central/ South Otago","Sentences",""
"2018-09-30","Southland and Central/ South Otago","Orders",""
"2018-09-30","Southland and Central/ South Otago","Total",""
"2018-09-30","Taitokerau","Sentences","1572"
"2018-09-30","Taitokerau","Orders","499"
"2018-09-30","Taitokerau","Total","2071"
"2018-09-30","Taupo/ Rotorua","Sentences","1467"
"2018-09-30","Taupo/ Rotorua","Orders","441"
"2018-09-30","Taupo/ Rotorua","Total","1908"
"2018-09-30","Waikato","Sentences","2961"
"2018-09-30","Waikato","Orders","793"
"2018-09-30","Waikato","Total","3754"
