"Date","Offence type","Observations"
2018-03-31,"Abduction, Harassment",0
2018-03-31,"Acts Intended To Cause Injury",0
2018-03-31,"Dangerous Or Negligent Acts",0
2018-03-31,"Fraud, Deception",0
2018-03-31,"Homicide",0
2018-03-31,"Illicit Drug Offences",0
2018-03-31,"Miscellaneous Offences",0
2018-03-31,"Offences Against Justice",0
2018-03-31,"Prohibited And Regulated Weapons",0
2018-03-31,"Property Damage",1.6
2018-03-31,"Public Order",0
2018-03-31,"Robbery, Extortion",0
2018-03-31,"Sexual Assault",3
2018-03-31,"Theft",0
2018-03-31,"Traffic",20.8
2018-03-31,"Unlawful Entry With Intent/Burglary",5.7
2018-03-31,"Unknown",0
2018-03-31,"Breaches",4.3
2018-03-31,"Dishonesty",11.8
2018-03-31,"Drugs",6.3
2018-03-31,"Other",22.1
2018-03-31,"Violence",22.2
2018-03-31,"Weapons",2.2
2018-06-30,"Abduction, Harassment",0
2018-06-30,"Acts Intended To Cause Injury",0
2018-06-30,"Dangerous Or Negligent Acts",0
2018-06-30,"Fraud, Deception",0
2018-06-30,"Homicide",0
2018-06-30,"Illicit Drug Offences",0
2018-06-30,"Miscellaneous Offences",0
2018-06-30,"Offences Against Justice",0
2018-06-30,"Prohibited And Regulated Weapons",0
2018-06-30,"Property Damage",1.7
2018-06-30,"Public Order",0
2018-06-30,"Robbery, Extortion",0
2018-06-30,"Sexual Assault",3
2018-06-30,"Theft",0
2018-06-30,"Traffic",21.3
2018-06-30,"Unlawful Entry With Intent/Burglary",5.9
2018-06-30,"Unknown",0
2018-06-30,"Breaches",4.5
2018-06-30,"Dishonesty",11.4
2018-06-30,"Drugs",6.6
2018-06-30,"Other",20.8
2018-06-30,"Violence",22.6
2018-06-30,"Weapons",2.2
2018-09-30,"Abduction, Harassment",0
2018-09-30,"Acts Intended To Cause Injury",0
2018-09-30,"Dangerous Or Negligent Acts",0
2018-09-30,"Fraud, Deception",0
2018-09-30,"Homicide",0
2018-09-30,"Illicit Drug Offences",0
2018-09-30,"Miscellaneous Offences",0
2018-09-30,"Offences Against Justice",0
2018-09-30,"Prohibited And Regulated Weapons",0
2018-09-30,"Property Damage",1.7
2018-09-30,"Public Order",0
2018-09-30,"Robbery, Extortion",0
2018-09-30,"Sexual Assault",3
2018-09-30,"Theft",0
2018-09-30,"Traffic",21
2018-09-30,"Unlawful Entry With Intent/Burglary",5.8
2018-09-30,"Unknown",0
2018-09-30,"Breaches",4.3
2018-09-30,"Dishonesty",11.6
2018-09-30,"Drugs",6.9
2018-09-30,"Other",21
2018-09-30,"Violence",22.5
2018-09-30,"Weapons",2.2
2018-12-31,"Abduction, Harassment",0
2018-12-31,"Acts Intended To Cause Injury",0
2018-12-31,"Dangerous Or Negligent Acts",0
2018-12-31,"Fraud, Deception",0
2018-12-31,"Homicide",0
2018-12-31,"Illicit Drug Offences",0
2018-12-31,"Miscellaneous Offences",0
2018-12-31,"Offences Against Justice",0
2018-12-31,"Prohibited And Regulated Weapons",0
2018-12-31,"Property Damage",1.7
2018-12-31,"Public Order",0
2018-12-31,"Robbery, Extortion",0
2018-12-31,"Sexual Assault",3.2
2018-12-31,"Theft",0
2018-12-31,"Traffic",20.5
2018-12-31,"Unlawful Entry With Intent/Burglary",6.1
2018-12-31,"Unknown",0
2018-12-31,"Breaches",4.1
2018-12-31,"Dishonesty",11.3
2018-12-31,"Drugs",7.2
2018-12-31,"Other",20.8
2018-12-31,"Violence",22.9
2018-12-31,"Weapons",2.2
2019-03-31,"Abduction, Harassment",0
2019-03-31,"Acts Intended To Cause Injury",0
2019-03-31,"Dangerous Or Negligent Acts",0
2019-03-31,"Fraud, Deception",0
2019-03-31,"Homicide",0
2019-03-31,"Illicit Drug Offences",0
2019-03-31,"Miscellaneous Offences",0
2019-03-31,"Offences Against Justice",0
2019-03-31,"Prohibited And Regulated Weapons",0
2019-03-31,"Property Damage",1.6
2019-03-31,"Public Order",0
2019-03-31,"Robbery, Extortion",0
2019-03-31,"Sexual Assault",3.3
2019-03-31,"Theft",0
2019-03-31,"Traffic",20.9
2019-03-31,"Unlawful Entry With Intent/Burglary",5.8
2019-03-31,"Unknown",0
2019-03-31,"Breaches",4
2019-03-31,"Dishonesty",10.8
2019-03-31,"Drugs",7.2
2019-03-31,"Other",21
2019-03-31,"Violence",23.1
2019-03-31,"Weapons",2.3
2019-06-30,"Abduction, Harassment",0
